CLASSIC_LASER_IN;CLASSIS_OUT;QUANT_IN_PORT;QUANT_DETECTOR_PORT;MIN photon count;MAX photon count;timestamp epoch;timestamp_utc;duration
3;11;8;12;1688;2081;1744404413.013590945;Fri Apr 11 08:46:53 PM UTC 2025;23.438744081
3;11;-;-;983;1116;1744404602.645709802;Fri Apr 11 08:50:02 PM UTC 2025;61.529154395
3;11;1;13;273;367;1744404664.182814380;Fri Apr 11 08:51:04 PM UTC 2025;39.941491679
3;11;2;13;3144;4917;1744404704.130463281;Fri Apr 11 08:51:44 PM UTC 2025;36.412555127
3;11;4;13;2420;3205;1744404740.550176845;Fri Apr 11 08:52:20 PM UTC 2025;30.196078078
3;11;5;13;216;301;1744404770.752881386;Fri Apr 11 08:52:50 PM UTC 2025;28.848073734
3;11;6;13;436;734;1744404799.608370245;Fri Apr 11 08:53:19 PM UTC 2025;31.335836886
3;11;7;13;1677;3266;1744404830.951701668;Fri Apr 11 08:53:50 PM UTC 2025;69.733916654
3;11;8;13;757;1008;1744404900.692316578;Fri Apr 11 08:55:00 PM UTC 2025;28.957249879
3;11;-;-;143;214;1744405054.207158693;Fri Apr 11 08:57:34 PM UTC 2025;43.559783864
3;11;1;14;546;636;1744405097.773762094;Fri Apr 11 08:58:17 PM UTC 2025;54.274548013
3;11;2;14;2516;4857;1744405152.055500239;Fri Apr 11 08:59:12 PM UTC 2025;106.164791958
3;11;4;14;1934;3321;1744405258.226978651;Fri Apr 11 09:00:58 PM UTC 2025;69.248909302
3;11;5;14;348;410;1744405327.482906692;Fri Apr 11 09:02:07 PM UTC 2025;37.260625464
3;11;6;14;291;637;1744405364.750817909;Fri Apr 11 09:02:44 PM UTC 2025;36.244002935
3;11;7;14;3202;4561;1744405401.001669402;Fri Apr 11 09:03:21 PM UTC 2025;51.566769594
3;11;8;14;819;1127;1744405452.574856561;Fri Apr 11 09:04:12 PM UTC 2025;40.903606617
3;11;-;-;174;231;1744405691.967608216;Fri Apr 11 09:08:11 PM UTC 2025;38.458425816
3;11;1;15;896;1107;1744405730.432864118;Fri Apr 11 09:08:50 PM UTC 2025;45.639949743
3;11;2;15;2437;2930;1744405776.080211945;Fri Apr 11 09:09:36 PM UTC 2025;38.853365252
3;11;4;15;4239;5923;1744405814.940401356;Fri Apr 11 09:10:14 PM UTC 2025;68.564712535
3;11;5;15;472;591;1744405883.511779472;Fri Apr 11 09:11:23 PM UTC 2025;53.375224320
3;11;6;15;405;632;1744405936.893684560;Fri Apr 11 09:12:16 PM UTC 2025;36.950762563
3;11;7;15;5021;7344;1744405973.850954600;Fri Apr 11 09:12:53 PM UTC 2025;45.551513377
3;11;8;15;770;932;1744406019.409011550;Fri Apr 11 09:13:39 PM UTC 2025;29.199832680
3;11;-;-;91;122;1744406135.075706460;Fri Apr 11 09:15:35 PM UTC 2025;38.353604382
3;11;1;16;781;879;1744406173.435926380;Fri Apr 11 09:16:13 PM UTC 2025;53.139648631
3;11;2;16;2724;3643;1744406226.582342623;Fri Apr 11 09:17:06 PM UTC 2025;39.995245742
3;11;4;16;4275;5207;1744406266.584554813;Fri Apr 11 09:17:46 PM UTC 2025;51.189437488
3;11;5;16;189;235;1744406317.780804964;Fri Apr 11 09:18:37 PM UTC 2025;22.543126370
3;11;6;16;407;531;1744406340.330317340;Fri Apr 11 09:19:00 PM UTC 2025;39.725550909
3;11;7;16;13208;15296;1744406380.062388548;Fri Apr 11 09:19:40 PM UTC 2025;79.259429581
3;11;8;16;807;931;1744406459.328287987;Fri Apr 11 09:20:59 PM UTC 2025;36.709200419
4;12;-;-;1586;1685;1744406678.587264091;Fri Apr 11 09:24:38 PM UTC 2025;44.472685432
4;12;1;9;607;721;1744406723.067134298;Fri Apr 11 09:25:23 PM UTC 2025;19.754748214
4;12;2;9;4178;4432;1744406742.828359546;Fri Apr 11 09:25:42 PM UTC 2025;33.032565081
4;12;3;9;7957;9345;1744406775.867445555;Fri Apr 11 09:26:15 PM UTC 2025;57.142624894
4;12;5;9;249;387;1744406833.016741929;Fri Apr 11 09:27:13 PM UTC 2025;43.060359345
4;12;6;9;1409;1522;1744406876.083857943;Fri Apr 11 09:27:56 PM UTC 2025;30.399932137
4;12;7;9;1148;2001;1744406906.490460388;Fri Apr 11 09:28:26 PM UTC 2025;54.650573020
4;12;8;9;4511;6477;1744406961.147838789;Fri Apr 11 09:29:21 PM UTC 2025;74.833961312
4;12;-;-;2050;2267;1744407171.822676554;Fri Apr 11 09:32:51 PM UTC 2025;54.064048210
4;12;1;10;859;932;1744407225.893847221;Fri Apr 11 09:33:45 PM UTC 2025;72.507122744
4;12;2;10;5814;6275;1744407298.407612973;Fri Apr 11 09:34:58 PM UTC 2025;46.051598654
4;12;3;10;12238;14961;1744407344.466025573;Fri Apr 11 09:35:44 PM UTC 2025;46.401319734
4;12;5;10;820;937;1744407390.874225501;Fri Apr 11 09:36:30 PM UTC 2025;29.425275575
4;12;6;10;1394;1472;1744407420.306314361;Fri Apr 11 09:37:00 PM UTC 2025;29.930737815
4;12;7;10;1313;1552;1744407450.243560018;Fri Apr 11 09:37:30 PM UTC 2025;24.602191911
4;12;8;10;9216;13147;1744407474.852773816;Fri Apr 11 09:37:54 PM UTC 2025;59.927045932
4;12;-;-;11702;12816;1744407656.276280204;Fri Apr 11 09:40:56 PM UTC 2025;35.748483523
